1,"Mohammad Irfan to Roy, no run, adjusts his line, onto middle and off, Roy is solidly forward and defends to the leg side",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Mohammad Irfan to Roy, no run, hint of width outside off, ball comes on nicely to the bat, cut firmly square into the covers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Mohammad Irfan to Roy, no run, on the pads, timed nicely with a flick but picks out square leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Mohammad Irfan to Roy, no run, can't find the gap again on the off side as he cuts off the front foot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Mohammad Irfan to Roy, 1 run, dabbed down to third man to get off the mark",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,"Mohammad Irfan to Hales, no run, full toss, hint of swing into Hales, clipped firmly to midwicket",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Anwar Ali to Roy, 1 run, a sweet flick from Roy, full and straight, plenty of bottom hand but again he picks out a fielder at midwicket although he can't quite stop it cleanly",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8,"Anwar Ali to Hales, no run, full outside off, shaping in, defended",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Anwar Ali to Hales, 1 run, tight run! Hales works a straight delivery into midwicket, they set off straight away but Rizwan is very quick and a direct hit at the non-striker's end would have been out",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
10,"Anwar Ali to Roy, 1 wide, shoved way down the leg side, a tumbling take from Sarfraz",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
11,"Anwar Ali to Roy, no run, back outside off, he's on the front foot, drives it hard into the ground and it bounces to point...not finding the gaps early on",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Anwar Ali to Roy, no run, tight outside off, blocked firmly back down the pitch",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Anwar Ali to Roy, 1 run, some gentle swing into Roy on a full length and he clips to deep square leg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,"Mohammad Irfan to Roy, 2 runs, short of a length, Roy on his toes and tucks it off his hip behind square on the leg side",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,"Mohammad Irfan to Roy, 1 run, round the wicket, angling in, Roy defends and the ball runs off a thick inside edge",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,"Mohammad Irfan to Hales, 1 run, back of a length outside off, driven square from the back foot behind point",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,"Mohammad Irfan to Roy, 1 run, pushed firmly into the leg side, space at midwicket",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,"Mohammad Irfan to Hales, no run, left alone outside off",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Mohammad Irfan to Hales, no run, appeal for lbw as Hales falls across the line playing to the leg side, but from round the wicket and where Irfan bowls from on the crease the angle is significant and it is heading down leg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Anwar Ali to Roy, FOUR, fortune for Roy! He comes forward and drives at a full delivery, takes an inside edge past the stumps and down to fine leg",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
21,"Anwar Ali to Roy, no run, on a length outside off, Roy is forward and defends",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Anwar Ali to Roy, no run, drives at another full ball, the bat twists in his hand and squirts into the leg side",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Anwar Ali to Roy, no run, opens the face as he walks into the shot to a ball outside off, backward point dives to make the save",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,"Anwar Ali to Roy, no run, played back from where it came with a perfectly straight bat this time",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Anwar Ali to Roy, no run, fuller outside off, a punchy drives finds mid-off",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Mohammad Irfan to Hales, 1 leg bye, on the pads, Hales doesn't make contact and it deflects into the leg side",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,"Mohammad Irfan to Roy, 1 run, dabbed away from around off stump to third man",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,"Mohammad Irfan to Hales, 2 runs, on the legs again, flicked away behind square and Wahab runs around from leg leg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,"Mohammad Irfan to Hales, 1 run, round the wicket, full outside off, 79mph, guided to third man",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,"Mohammad Irfan to Roy, 2 runs, short outside off, Roy fetches it from quite wide with a flat-bat pull which goes through midwicket but he hasn't got his timing yet",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,"Mohammad Irfan to Roy, 2 runs, now, he's timed that much better, pushes forward into a length ball and sends it straight of mid-on",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,"Anwar Ali to Hales, 1 run, more runs to third man as Hales plays this with an open face",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
